School Name,State Name [Public School] Latest available year,School Name [Public School] 2014-15,Location Address 1 [Public School] 2014-15,Location Address 2 [Public School] 2014-15,Location Address 3 [Public School] 2014-15,Location City [Public School] 2014-15,Location ZIP [Public School] 2014-15,Location ZIP4 [Public School] 2014-15,School Type [Public School] 2014-15,Magnet School [Public School] 2014-15,Charter School [Public School] 2014-15,Title I Eligible School [Public School] 2014-15,Title I School Status [Public School] 2014-15,Latitude [Public School] 2014-15,Longitude [Public School] 2014-15,Lowest Grade Offered [Public School] 2014-15,Highest Grade Offered [Public School] 2014-15,Grade 12 offered [Public School] 2014-15,Grade 11 offered [Public School] 2014-15,Grade 10 offered [Public School] 2014-15,Grade 9 offered [Public School] 2014-15,Total Students All Grades (Excludes AE) [Public School] 2014-15,Grades 9-12 Students [Public School] 2014-15
WALTER R JOHNSON MIDDLE,North Carolina,True,701 LENOIR ROAD,†,†,MORGANTON,28655,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.780538,-81.691980,6th Grade,8th Grade,2-No,2-No,2-No,2-No,443,†
WATAUGA HIGH,North Carolina,True,300 GO PIONEERS DRIVE,†,†,BOONE,28607,†,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,36.215934,-81.650459,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,1365,1365
WATAUGA INNOVATION ACADEMY,NORTH CAROLINA,True,300 GO PIONEERS DRIVE,†,†,BOONE,28607,†,1-Regular school,†,2-No,†,†,†,†,†,†,2-No,2-No,2-No,2-No,†,†
WEBB A MURRAY ELEMENTARY,North Carolina,True,3901 SECTION HOUSE ROAD,†,†,HICKORY,28601,9054,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.737350,-81.251301,Prekindergarten,6th Grade,2-No,2-No,2-No,2-No,453,†
WEST ALEXANDER MIDDLE,North Carolina,True,85 BULLDOG LANE,†,†,TAYLORSVILLE,28681,9538,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.873083,-81.312134,6th Grade,8th Grade,2-No,2-No,2-No,2-No,523,†
WEST CALDWELL HIGH,North Carolina,True,300 W CALDWELL DRIVE,†,†,LENOIR,28645,9671,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.886674,-81.591703,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,900,900
WEST LENOIR ELEMENTARY,North Carolina,True,125 MAPLE DRIVE NW,†,†,LENOIR,28645,5099,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.909430,-81.552833,Kindergarten,5th Grade,2-No,2-No,2-No,2-No,179,†
WEST MARION ELEMENTARY,North Carolina,True,820 MARLER ROAD,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.621075,-82.061061,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,443,†
WEST MCDOWELL JUNIOR HIGH,North Carolina,True,346 MCDOWELL HIGH SCHOOL ROAD,†,†,MARION,28752,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,35.700300,-82.040300,6th Grade,8th Grade,2-No,2-No,2-No,2-No,734,†
WEST WILKES HIGH,North Carolina,True,6598 BOONE TRAIL,†,†,MILLERS CREEK,28651,8387,1-Regular school,2-No,2-No,2-No,6-Not eligible for either TAS or SWP,36.185682,-81.259651,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,689,689
WEST WILKES MIDDLE,North Carolina,True,1677 NORTH NC HWY 16,†,†,WILKESBORO,28697,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.169420,-81.241309,6th Grade,8th Grade,2-No,2-No,2-No,2-No,659,†
WESTWOOD ELEMENTARY,North Carolina,True,4083 US HWY 221S,†,†,WEST JEFFERSON,28694,†,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.364545,-81.508812,Kindergarten,6th Grade,2-No,2-No,2-No,2-No,592,†
WHITNEL ELEMENTARY,North Carolina,True,116 HIBRITEN DRIVE SW,†,†,LENOIR,28645,6398,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.889951,-81.521402,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,334,†
WILKES CENTRAL HIGH,North Carolina,True,1179 MORAVIAN FALLS RD,†,†,WILKESBORO,28697,9443,1-Regular school,2-No,2-No,1-Yes,1-Eligible for Title I TAS provides no program,36.110032,-81.178481,9th Grade,12th Grade,1-Yes,1-Yes,1-Yes,1-Yes,865,865
WILKES EARLY COLLEGE HIGH,North Carolina,True,1328 S COLLEGIATE DR,†,†,WILKESBORO,28697,†,1-Regular school,2-No,2-No,1-Yes,4-Eligible for Title I SWP provides no program,36.135510,-81.183711,9th Grade,13th Grade,1-Yes,1-Yes,1-Yes,1-Yes,243,215
WILKESBORO ELEMENTARY,North Carolina,True,1248 SCHOOL ST,†,†,WILKESBORO,28697,2699,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,36.132682,-81.176668,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,437,†
WILLIAM LENOIR MIDDLE,North Carolina,True,332 GREENHAVEN DRIVE NW,†,†,LENOIR,28645,3698,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.926813,-81.535806,6th Grade,8th Grade,2-No,2-No,2-No,2-No,507,†
WITTENBURG ELEMENTARY,North Carolina,True,7300 CHURCH ROAD,†,†,TAYLORSVILLE,28681,8818,1-Regular school,2-No,2-No,1-Yes,5-Eligible for Title I SWP provides SWP program,35.827510,-81.241372,Prekindergarten,5th Grade,2-No,2-No,2-No,2-No,339,†
